conscious_state,score,fold
unconscious,0.5070422535211268,1
unconscious,0.5992445054945056,2
unconscious,0.5866346538615447,3
unconscious,0.498342803030303,4
unconscious,0.5872584541062802,5
unconscious,0.5264136904761905,6
unconscious,0.5949921752738654,7
unconscious,0.5992829564258135,8
unconscious,0.5626373626373626,9
unconscious,0.5314379442318207,10
unconscious,0.5125448028673836,11
unconscious,0.4906565656565657,12
unconscious,0.5506072874493928,13
unconscious,0.47979797979797983,14
unconscious,0.6148897058823529,15
unconscious,0.529724260055654,16
unconscious,0.5285326086956521,17
unconscious,0.6412429378531073,18
unconscious,0.5560561887092499,19
unconscious,0.5151515151515151,20
unconscious,0.5571895424836601,21
unconscious,0.5555555555555556,22
unconscious,0.5280682443588333,23
unconscious,0.5456896551724139,24
unconscious,0.5135863462834044,25
unconscious,0.6603535353535354,26
unconscious,0.5339912280701755,27
unconscious,0.5374228395061729,28
unconscious,0.47153110047846886,29
unconscious,0.583030617540218,30
unconscious,0.5696767001114826,31
unconscious,0.6173007246376812,32
unconscious,0.6064867967853043,33
unconscious,0.538961038961039,34
unconscious,0.4472560975609756,35
unconscious,0.5120107962213226,36
unconscious,0.5208955223880597,37
unconscious,0.5321750321750323,38
unconscious,0.4421850079744817,39
unconscious,0.49865861837692826,40
unconscious,0.5710978835978835,41
unconscious,0.5007042253521127,42
unconscious,0.5532051282051282,43
unconscious,0.5558823529411765,44
unconscious,0.508437270726339,45
unconscious,0.5609929078014185,46
unconscious,0.4788858939802336,47
unconscious,0.4989177489177489,48
unconscious,0.6009759759759761,49
unconscious,0.46304347826086956,50
glimpse,0.46290726817042605,1
glimpse,0.5709518791710573,2
glimpse,0.4852941176470589,3
glimpse,0.5770509977827051,4
glimpse,0.5446217494089834,5
glimpse,0.5339187327823691,6
glimpse,0.5130391996063638,7
glimpse,0.5245192307692308,8
glimpse,0.5607387661843108,9
glimpse,0.596232985121874,10
glimpse,0.5416992645908308,11
glimpse,0.45101553166069297,12
glimpse,0.5441545893719807,13
glimpse,0.48604566872055094,14
glimpse,0.546875,15
glimpse,0.5432422969187676,16
glimpse,0.566595744680851,17
glimpse,0.5591630591630591,18
glimpse,0.5747282608695652,19
glimpse,0.5273058252427184,20
glimpse,0.530773100788194,21
glimpse,0.4859477124183007,22
glimpse,0.5548469387755102,23
glimpse,0.6335428122545169,24
glimpse,0.5202790395846852,25
glimpse,0.5451612903225808,26
glimpse,0.5184685444425704,27
glimpse,0.5367990654205608,28
glimpse,0.5492163009404389,29
glimpse,0.48517786561264825,30
glimpse,0.5130751406818934,31
glimpse,0.4763157894736843,32
glimpse,0.5744755244755245,33
glimpse,0.5425490196078432,34
glimpse,0.5293023255813954,35
glimpse,0.5893711551606288,36
glimpse,0.5533653846153845,37
glimpse,0.5875962867864902,38
glimpse,0.5698924731182795,39
glimpse,0.6151209677419356,40
glimpse,0.48613329461303906,41
glimpse,0.5727272727272728,42
glimpse,0.5405529953917051,43
glimpse,0.5352318364366556,44
glimpse,0.5167682926829268,45
glimpse,0.5208333333333334,46
glimpse,0.5338345864661654,47
glimpse,0.5805512754665297,48
glimpse,0.5245901639344263,49
glimpse,0.4847222222222222,50
conscious,0.6365714285714286,1
conscious,0.5907738095238095,2
conscious,0.7595238095238096,3
conscious,0.5837320574162679,4
conscious,0.6246130030959752,5
conscious,0.7271739130434782,6
conscious,0.625,7
conscious,0.6448412698412699,8
conscious,0.6,9
conscious,0.6247863247863248,10
conscious,0.6702800361336946,11
conscious,0.6750663129973474,12
conscious,0.590311986863711,13
conscious,0.7020872865275142,14
conscious,0.6566347469220246,15
conscious,0.6382211538461539,16
conscious,0.6647727272727273,17
conscious,0.6699507389162562,18
conscious,0.5238095238095237,19
conscious,0.7263513513513514,20
conscious,0.7467105263157895,21
conscious,0.6722222222222222,22
conscious,0.5185714285714286,23
conscious,0.6066666666666667,24
conscious,0.6197916666666666,25
conscious,0.5601851851851851,26
conscious,0.6559999999999999,27
conscious,0.549404761904762,28
conscious,0.7262443438914027,29
conscious,0.6746794871794872,30
conscious,0.6475000000000001,31
conscious,0.601823708206687,32
conscious,0.6538461538461539,33
conscious,0.6882183908045976,34
conscious,0.5975935828877005,35
conscious,0.6038903625110523,36
conscious,0.6770833333333334,37
conscious,0.6111111111111112,38
conscious,0.6875,39
conscious,0.6526082130965594,40
conscious,0.5819444444444445,41
conscious,0.569327731092437,42
conscious,0.5761904761904761,43
conscious,0.6158536585365854,44
conscious,0.8100649350649352,45
conscious,0.6285403050108932,46
conscious,0.6337662337662338,47
conscious,0.6756756756756757,48
conscious,0.5790020790020791,49
conscious,0.67816091954023,50
