category,probe_path,subcategory,fixation_duration,label,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_onset_time,jitter1,discrim_resptime,response_window,correctAns,response.corr,response.keys,response.rt,visibil_resptime,visible.keys,visible.corr,visible.rt,probeFrames,jitter2,n_square,expName,probeFrames,participant,frameRate,date,session,premask_dur,postmask_dur,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/cow_15.jpg,Animals,0,cow,0,0,0,20,4.21378367872,2.0,4.98534342938,V_nV,1,1,1,4.44991088705,9.45631094358,1,1,3.50784734881,5,6.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/hummingbird_15.jpg,Birds,0,hummingbird,0,1,1,42,17.171931572,2.5,17.943505112,V_nV,1,1,1,1.15273797594,19.1069016573,2,0,0.942361534107,5,7.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/lamp_2.jpg,Furniture,0,lamp,0,2,2,46,24.2573278503,1.5,25.0188917782,nV_V,1,1,1,0.832027125638,25.8615406611,3,0,1.56362477189,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Tools/axe_8.jpg,Tools,0,axe,0,3,3,3,31.63336606,2.5,32.374873072,V_nV,2,1,2,1.19281561987,33.5783291524,1,1,0.801963661565,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Buildings/castle_19.jpg,Buildings,0,castle,0,4,4,12,38.5884888093,1.5,39.3400215987,nV_V,1,1,1,2.3553462869,41.7059994061,1,1,0.591607745388,5,6.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/boat_4.jpg,Vehicles,0,boat,0,5,5,7,46.5056969492,2.5,47.2772718464,nV_V,1,1,1,0.912225743639,48.2001477383,3,0,0.461222999729,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/teapot_22.jpg,Kitchen_Uten,0,teapot,0,6,6,83,52.8695243996,1.5,53.6210610088,V_nV,2,1,2,5.21155081375,58.8432576662,1,1,1.31318255013,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/pelican_3.jpg,Birds,0,pelican,0,7,7,60,64.3645108265,2.0,65.1461085277,nV_V,2,1,2,0.862097822828,66.0190214171,3,0,0.771748131723,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/giraffe_16.jpg,Animals,0,giraffe,0,8,8,32,70.9989506349,1.5,71.7604891419,V_nV,1,1,1,0.852083766833,72.6232228314,2,0,0.461223947001,5,6.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/shark_4.jpg,Marine_creatures,0,shark,0,9,9,75,77.2926381764,1.5,78.0441479249,nV_V,2,0,1,1.13269095472,79.1874740695,1,1,0.381047884701,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/lectern_0.jpg,Furniture,0,lectern,0,10,10,47,83.7767126715,2.0,84.5382661899,nV_V,1,1,1,1.18279907561,85.7317127896,3,0,1.72398423834,5,7.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/horse_25.jpg,Animals,0,horse,0,11,11,40,91.6638569261,2.0,92.4053706338,nV_V,2,0,1,1.13268529705,93.5486919099,1,1,0.52135201823,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Musical_Inst/saxophone_12.jpg,Musical_Inst,0,saxophone,0,12,12,72,98.2782352132,2.0,99.0498113851,nV_V,1,1,1,1.50349110691,100.563956147,3,0,0.661659114528,5,8.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Buildings/cathedral_15.jpg,Buildings,0,cathedral,0,13,13,14,105.433795814,2.0,106.175303642,nV_V,1,1,1,0.73181688413,106.917748776,1,1,0.521360255196,5,7.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/couch_12.jpg,Furniture,0,couch,0,14,14,19,111.647300177,2.5,112.408855116,V_nV,2,1,2,1.00240256521,113.421888074,2,0,0.611566136125,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Insects/butterfly_5.jpg,Insects,0,butterfly,0,15,15,10,118.24163271,2.0,118.993179664,V_nV,1,1,1,1.02244787943,120.026245512,3,0,0.37102547579,5,7.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/pot_8.jpg,Kitchen_Uten,0,pot,0,16,16,66,124.60546628,2.0,125.336991965,V_nV,2,1,2,1.01242312859,126.360029306,2,0,0.280836245045,5,6.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/goldfinch_22.jpg,Birds,0,goldfinch,0,17,17,33,130.8490431,2.0,131.570511342,V_nV,1,0,2,1.69390502246,133.275050829,1,1,0.290847966331,5,6.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/rhino_10.jpg,Animals,0,rhino,0,18,18,68,137.774112727,1.5,138.525631016,V_nV,1,1,1,2.94662876974,141.482909604,1,1,1.02243992849,5,7.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Musical_Inst/tuba_7.jpg,Musical_Inst,0,tuba,0,19,19,89,146.713540182,3.0,147.485106165,V_nV,2,1,2,0.892214353895,148.387970066,3,0,0.862108514062,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/bedside-table_16.jpg,Furniture,0,bedside-table,0,20,20,6,153.458193768,2.0,154.199707051,nV_V,1,1,1,0.862097582198,155.072435034,2,0,1.58366752241,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/van_1.jpg,Vehicles,0,van,0,21,21,91,160.864304389,1.5,161.595786038,nV_V,1,1,1,2.40545254282,164.011869977,1,1,1.69391459774,5,6.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/narwhal_17.jpg,Marine_creatures,0,narwhal,0,22,22,55,169.913970022,1.5,170.665506822,V_nV,1,1,1,0.932272174861,171.60842863,2,0,0.531380705652,5,6.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/plane_4.jpg,Vehicles,0,plane,0,23,23,64,176.347955159,2.0,177.089469626,V_nV,2,1,2,1.28301355406,178.383131294,1,1,0.711777678458,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/duck_19.jpg,Birds,0,duck,0,24,24,26,183.303078356,2.5,184.054617976,nV_V,2,0,1,1.27300747146,185.33826034,1,1,0.862093270058,5,6.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/tractor_6.jpg,Vehicles,0,tractor,0,25,25,86,190.408524655,2.5,191.180106116,V_nV,2,1,2,0.962316402118,192.153073415,2,0,0.691727006808,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/motorbike_15.jpg,Vehicles,0,motorbike,0,26,26,54,197.053400197,1.5,197.814525011,V_nV,2,1,2,0.751857093303,198.57701394,3,0,0.270797415054,5,7.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Musical_Inst/piano__20.jpg,Musical_Inst,0,piano,0,27,27,62,203.056022144,1.5,203.78751095,V_nV,2,1,2,1.43333712651,205.231502845,1,1,0.781933703809,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/partridge_24.jpg,Birds,0,partridge,0,28,28,59,210.22159571,1.5,210.963116237,V_nV,1,0,2,1.41330405616,212.387078219,1,1,0.55141939607,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/kiwi_19.jpg,Birds,0,kiwi,0,29,29,44,217.146653473,2.0,217.90821072,nV_V,2,1,2,2.96667228721,220.885512152,3,0,1.24292801495,5,6.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/owl_5.jpg,Birds,0,owl,0,30,30,57,226.336638644,1.5,227.078145047,V_nV,1,0,2,6.1536047468,233.242410874,2,0,1.93427514436,5,7.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/sparrow_19.jpg,Birds,0,sparrow,0,31,31,79,239.385025617,1.5,240.116497881,V_nV,1,1,1,2.88650695805,243.013650913,1,1,0.250758630689,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Insects/ladybird_26.jpg,Insects,0,ladybird,0,32,32,45,247.47260823,1.5,248.224120121,V_nV,1,1,1,0.541410339996,248.776162858,1,1,0.270804452477,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/raven_7.jpg,Birds,0,raven,0,33,33,67,253.255164554,2.0,254.03676315,nV_V,2,1,2,0.771899930085,254.819305409,1,1,0.411123698577,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/table_2.jpg,Furniture,0,table,0,34,34,81,259.438599442,1.5,260.250263235,nV_V,1,1,1,1.76406813797,262.024965085,3,0,0.711771163624,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/pigeon_25.jpg,Birds,0,pigeon,0,35,35,63,266.944934451,3.5,267.726518115,V_nV,1,1,1,0.932247569668,268.669395581,2,0,0.501312057488,5,6.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/bed_11.jpg,Furniture,0,bed,0,36,36,5,273.378907051,1.5,274.150485606,nV_V,1,1,1,0.56155613414,274.72269249,1,1,0.290854214341,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/train_22.jpg,Vehicles,0,train,0,37,37,87,279.221630773,1.5,280.013228192,nV_V,1,1,1,0.701770859421,280.725655936,3,0,0.270811753231,5,7.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Buildings/church_6.jpg,Buildings,0,church,0,38,38,17,285.204618411,3.0,285.976201078,V_nV,2,1,2,0.771908241906,286.758733984,3,0,0.441179813002,5,6.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/toucan_14.jpg,Birds,0,toucan,0,39,39,85,291.40810068,3.0,292.149617568,V_nV,1,0,2,1.39325230604,293.553503154,1,1,0.240748789161,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Buildings/factory_0.jpg,Buildings,0,factory,0,40,40,28,298.002579775,1.5,298.753972653,V_nV,2,1,2,0.681704913615,299.446312117,1,1,0.441180369351,5,8.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/bookcase_24.jpg,Furniture,0,bookcase,0,41,41,8,304.095678441,1.5,304.867264842,V_nV,2,1,2,0.862096946687,305.739993008,2,0,0.651638776762,5,7.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/lobster_8.jpg,Marine_creatures,0,lobster,0,42,42,49,310.599831059,1.5,311.361384998,nV_V,2,1,2,1.38323500205,312.75525013,1,1,1.38323049841,5,7.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/ship_3.jpg,Vehicles,0,ship,0,43,43,76,318.346684796,1.5,319.128269922,nV_V,1,1,1,0.681705169263,319.8205988,3,0,0.30087495409,5,6.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/coking-pot_1.jpg,Kitchen_Uten,0,coking-pot,0,44,44,18,324.329708211,2.5,325.081211325,V_nV,2,1,2,1.60370709258,326.695566487,2,0,0.290864259005,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/chair_24.jpg,Furniture,0,chair,0,45,45,15,331.1945994,2.0,331.936115175,V_nV,2,1,2,1.68389082397,333.630651433,1,1,0.801962875645,5,6.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Musical_Inst/trumpet_21.jpg,Musical_Inst,0,trumpet,0,46,46,88,338.640789515,3.0,339.392324439,V_nV,2,1,2,0.561442670063,339.964390442,1,1,0.280827305047,5,6.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/seagull_15.jpg,Birds,0,seagull,0,47,47,74,344.453425284,1.5,345.235022733,nV_V,2,1,2,0.671688282629,345.917369747,3,0,0.501301388489,5,6.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/manatee_5.jpg,Marine_creatures,0,manatee,0,48,48,52,350.626855676,2.0,351.388404276,V_nV,1,1,1,1.15273181803,352.551765081,3,0,0.71176815615,5,6.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/crab_16.jpg,Marine_creatures,0,crab,0,49,49,21,357.471724425,2.0,358.213242456,V_nV,1,0,2,2.90654578374,361.130421512,1,1,0.270805952605,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/Chest-of-drawers_10.jpg,Furniture,0,Chest-of-drawers,0,50,50,0,365.609417076,1.5,366.380995282,nV_V,1,1,1,0.71176692273,367.103413631,2,0,0.661658640718,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/goose_14.jpg,Birds,0,goose,0,51,51,34,371.973256688,1.5,372.73481077,V_nV,1,1,1,0.952330083004,373.697773122,3,0,0.5313814088,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
