conscious_source,conscious_target,diff,feature_selector,p,ps_mean,ps_std,roi_name,side,t,ps_corrected,stars
conscious,glimpse,0.27896101318875927,None,0.0,9.999900000999992e-06,1.6940658945086007e-21,fusiform,rh,362.583835273563,0.00019999800001999985,***
conscious,glimpse,0.15094397123610312,None,0.0,9.999900000999992e-06,1.6940658945086007e-21,inferiorparietal,rh,167.4229810404679,0.00019999800001999985,***
conscious,glimpse,0.095902605092139,None,0.0,9.999900000999992e-06,1.6940658945086007e-21,inferiortemporal,rh,86.21153347743746,0.00019999800001999985,***
conscious,glimpse,0.19967458530867144,None,0.0,9.999900000999992e-06,1.6940658945086007e-21,lateraloccipital,rh,220.50745763322914,0.00019999800001999985,***
conscious,glimpse,0.01929980201346872,None,1.0032684542625882e-81,9.999900000999992e-06,1.6940658945086007e-21,lingual,lh,19.552824060939763,0.00019999800001999985,***
conscious,glimpse,0.029103244624153,None,9.416850159713788e-166,9.999900000999992e-06,1.6940658945086007e-21,lingual,rh,28.73923573607607,0.00019999800001999985,***
conscious,glimpse,0.09932517660965041,None,0.0,9.999900000999992e-06,1.6940658945086007e-21,parahippocampal,lh,104.58034369644047,0.00019999800001999985,***
conscious,glimpse,0.24752157583017675,None,0.0,9.999900000999992e-06,1.6940658945086007e-21,parahippocampal,rh,214.8544553679701,0.00019999800001999985,***
conscious,glimpse,0.01866958649769391,None,6.31558560521864e-50,9.999900000999992e-06,1.6940658945086007e-21,pericalcarine,lh,15.013909309017016,0.00019999800001999985,***
conscious,glimpse,0.012840790806362214,None,6.740480813502647e-30,9.999900000999992e-06,1.6940658945086007e-21,pericalcarine,rh,11.388029277257335,0.00019999800001999985,***
conscious,glimpse,0.06344840826111317,None,0.0,9.999900000999992e-06,1.6940658945086007e-21,precuneus,lh,71.16798781069079,0.00019999800001999985,***
conscious,glimpse,0.1124737249848138,None,0.0,9.999900000999992e-06,1.6940658945086007e-21,precuneus,rh,104.85576099530046,0.00019999800001999985,***
conscious,glimpse,-0.03329865332590129,None,1.0,1.0,0.0,rostralmiddlefrontal,lh,-22.276187216066152,1.0,n.s.
conscious,glimpse,0.07212525929628505,None,0.0,9.999900000999992e-06,1.6940658945086007e-21,rostralmiddlefrontal,rh,73.60809817498505,0.00019999800001999985,***
conscious,glimpse,0.006563404323950248,None,5.173804043306501e-12,9.999900000999992e-06,1.6940658945086007e-21,superiorfrontal,lh,6.821494569590952,0.00019999800001999985,***
conscious,glimpse,0.0776029739493166,None,0.0,9.999900000999992e-06,1.6940658945086007e-21,superiorfrontal,rh,79.07834121477698,0.00019999800001999985,***
