conscious_state,diff,feature_selector,p,ps_mean,ps_std,roi_name,side,t,ps_corrected
conscious,-0.014410460992907792,None,0.9999973690492645,0.9999950004999499,2.179231548615837e-05,fusiform,lh,-4.5957862362121285,1.0
conscious,0.1200014775413712,None,4.948864820500234e-180,9.999000099989996e-05,5.421010862427522e-20,fusiform,rh,41.82789957580498,1.1877275569200563e-178
conscious,0.0381220449172577,None,2.657181097866163e-29,9.999000099989996e-05,5.421010862427522e-20,inferiorparietal,lh,11.79173761714495,6.3772346348787914e-28
conscious,-0.011195330969267135,None,0.9998058883202849,0.9998170182981702,0.00014424575704070406,inferiorparietal,rh,-3.568220616033958,1.0
conscious,0.13848256501182035,None,1.7173765089496097e-243,9.999000099989996e-05,5.421010862427522e-20,inferiortemporal,lh,56.81735549671798,4.121703621479063e-242
conscious,0.05918439716312058,None,9.18130276735528e-70,9.999000099989996e-05,5.421010862427522e-20,inferiortemporal,rh,20.180116001098995,2.2035126641652673e-68
conscious,0.04174497635933806,None,1.4713953722916934e-34,9.999000099989996e-05,5.421010862427522e-20,lateraloccipital,lh,13.01138483476242,3.531348893500064e-33
conscious,0.15383569739952718,None,1.858805533716291e-232,9.999000099989996e-05,5.421010862427522e-20,lateraloccipital,rh,54.00561882082137,4.461133280919098e-231
conscious,0.0661436170212766,None,1.8125688547047346e-61,9.999000099989996e-05,5.421010862427522e-20,lingual,lh,18.579212704252676,4.350165251291363e-60
conscious,0.03578457446808512,None,1.541643572218531e-23,9.999000099989996e-05,5.421010862427522e-20,lingual,rh,10.358363249470479,3.699944573324475e-22
conscious,-0.0024438534278959693,None,0.7770412350775064,0.7777762223777621,0.004216743724328452,parahippocampal,lh,-0.7627428549816684,1.0
conscious,0.09541075650118204,None,4.65566284212122e-130,9.999000099989996e-05,5.421010862427522e-20,parahippocampal,rh,31.62471098466083,1.1173590821090927e-128
conscious,0.02263593380614658,None,3.9275850328435407e-13,9.999000099989996e-05,5.421010862427522e-20,pericalcarine,lh,7.3233029118656825,9.426204078824497e-12
conscious,0.06985963356973995,None,7.043454593407195e-95,9.999000099989996e-05,5.421010862427522e-20,pericalcarine,rh,24.925306312238842,1.690429102417727e-93
conscious,0.041891252955082746,None,1.75335092063557e-36,9.999000099989996e-05,5.421010862427522e-20,precuneus,lh,13.441876248386004,4.2080422095253685e-35
