MobileNetV2, leave 2 objects out cross validation (folds = 2304),
scores = 0.9945 +/- 0.0508
pairs of living-nonliving objects incorrectly decoded:
ladybird                 ,motorbike                 ROC_AUC = 0.4540
ladybird                 ,piano                     ROC_AUC = 0.5652
ladybird                 ,plane                     ROC_AUC = 0.0000
ladybird                 ,pot                       ROC_AUC = 0.9794
ladybird                 ,rocking-chair             ROC_AUC = 0.8340
ladybird                 ,saxophone                 ROC_AUC = 0.7737
ladybird                 ,ship                      ROC_AUC = 0.9095
ladybird                 ,small-saucepan            ROC_AUC = 0.9904
ladybird                 ,sofa                      ROC_AUC = 0.8436
ladybird                 ,teapot                    ROC_AUC = 0.3951
ladybird                 ,tractor                   ROC_AUC = 0.4239
ladybird                 ,train                     ROC_AUC = 0.8505
ladybird                 ,trumpet                   ROC_AUC = 0.7956
ladybird                 ,tuba                      ROC_AUC = 0.5021
ladybird                 ,van                       ROC_AUC = 0.4033
ladybird                 ,violin                    ROC_AUC = 0.3964
ladybird                 ,wardrobe                  ROC_AUC = 0.9753
narwhal                  ,plane                     ROC_AUC = 0.9973
narwhal                  ,violin                    ROC_AUC = 0.9973
Chest-of-drawers         ,pomfret                   ROC_AUC = 0.9986
bookcase                 ,pomfret                   ROC_AUC = 0.9945
car                      ,pomfret                   ROC_AUC = 0.9904
cathedral                ,pomfret                   ROC_AUC = 0.9945
coking-pot               ,pomfret                   ROC_AUC = 0.9918
plane                    ,pomfret                   ROC_AUC = 0.8971
pomfret                  ,rocking-chair             ROC_AUC = 0.9904
pomfret                  ,teapot                    ROC_AUC = 0.9918
pomfret                  ,tractor                   ROC_AUC = 0.9945
pomfret                  ,trumpet                   ROC_AUC = 0.9986
pomfret                  ,violin                    ROC_AUC = 0.9877
scorpion                 ,violin                    ROC_AUC = 0.9918
plane                    ,sparrow                   ROC_AUC = 0.9959
