trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,probe_onset,response.keys,response.corr,response.rt,visible.keys,visible.corr,visible.rt,probeFrames,To_end_the_experiment.keys,To_end_the_experiment.rt,expName,random_state,frameRate,premask_dur,session,date,probeFrames,participant,experiment,n_postmask,n_premask,postmask_dur,conscious_state,
,,,,space,47.5034025775,,,,,,,,5,,,experiment_DEF,12345,99.7803438454,10,012,2019_mar_13_1050,5,marta,EEG_bw,2,2,10,balanced,
,,,,,,0.0192804116668,1,1,2.03467574005,2,0,0.761869743003,5,space,40.9392093722,experiment_DEF,12345,99.7803438454,10,012,2019_mar_13_1050,5,marta,EEG_bw,2,2,10,balanced,
