roi_name,side,feature_selector,conscious_state,ps_mean,ps_std,p,t,diff,ps_corrected,stars
fusiform,lh,Mutual,conscious,9.999900000999992e-06,1.6940658945086007e-21,0.0,76.09633264066761,0.30520389290595545,0.0009599904000959993,***
fusiform,lh,None,conscious,9.999900000999992e-06,1.6940658945086007e-21,0.0,83.62857552440325,0.3249111497032147,0.0009599904000959993,***
fusiform,lh,PCA,conscious,9.999900000999992e-06,1.6940658945086007e-21,0.0,83.72232665467243,0.3251742674632339,0.0009599904000959993,***
fusiform,lh,RandomForest,conscious,9.999900000999992e-06,1.6940658945086007e-21,0.0,83.65787664484708,0.32436830715197296,0.0009599904000959993,***
fusiform,rh,Mutual,conscious,9.999900000999992e-06,1.6940658945086007e-21,2.567656495913666e-42,13.73894463357996,0.07197993763626824,0.0009599904000959993,***
fusiform,rh,None,conscious,9.999900000999992e-06,1.6940658945086007e-21,1.539801724358322e-84,19.911871781154225,0.10189602622614476,0.0009599904000959993,***
fusiform,rh,PCA,conscious,9.999900000999992e-06,1.6940658945086007e-21,4.231114545617348e-81,19.472335753163115,0.09965163433440351,0.0009599904000959993,***
fusiform,rh,RandomForest,conscious,9.999900000999992e-06,1.6940658945086007e-21,9.946403795086347e-47,14.490399973513636,0.07787255419799696,0.0009599904000959993,***
inferiorparietal,lh,Mutual,conscious,9.999900000999992e-06,1.6940658945086007e-21,1.8650553248409594e-198,31.78842465007508,0.1690616798167204,0.0009599904000959993,***
inferiorparietal,lh,None,conscious,9.999900000999992e-06,1.6940658945086007e-21,1.725939997283664e-265,37.56404452727527,0.19221938173383854,0.0009599904000959993,***
inferiorparietal,lh,PCA,conscious,9.999900000999992e-06,1.6940658945086007e-21,1.9177131969049295e-261,37.22907298857156,0.19028086800472865,0.0009599904000959993,***
inferiorparietal,lh,RandomForest,conscious,9.999900000999992e-06,1.6940658945086007e-21,2.26190670272516e-261,37.223124086758276,0.19093150866791223,0.0009599904000959993,***
inferiorparietal,rh,Mutual,conscious,9.999900000999992e-06,1.6940658945086007e-21,2.1491935950087824e-31,11.694148179693292,0.06230911104861472,0.0009599904000959993,***
inferiorparietal,rh,None,conscious,9.999900000999992e-06,1.6940658945086007e-21,6.7420812081413425e-43,13.839950065019545,0.07295784917513704,0.0009599904000959993,***
inferiorparietal,rh,PCA,conscious,9.999900000999992e-06,1.6940658945086007e-21,2.638705833638756e-41,13.561341297384315,0.07114780401710483,0.0009599904000959993,***
inferiorparietal,rh,RandomForest,conscious,9.999900000999992e-06,1.6940658945086007e-21,2.0856145996071303e-30,11.493091687655104,0.06097291480962657,0.0009599904000959993,***
inferiortemporal,lh,Mutual,conscious,9.999900000999992e-06,1.6940658945086007e-21,1.0185445217623202e-22,9.797906773385696,0.047298893591347486,0.0009599904000959993,***
inferiortemporal,lh,None,conscious,9.999900000999992e-06,1.6940658945086007e-21,4.2951486444312324e-110,22.963165944572637,0.10689249391036885,0.0009599904000959993,***
inferiortemporal,lh,PCA,conscious,9.999900000999992e-06,1.6940658945086007e-21,6.06032476403798e-104,22.25915850121109,0.10531571460884934,0.0009599904000959993,***
inferiortemporal,lh,RandomForest,conscious,9.999900000999992e-06,1.6940658945086007e-21,3.8967319800866675e-86,20.113276648134338,0.09857501052654076,0.0009599904000959993,***
inferiortemporal,rh,Mutual,conscious,0.00036309636903630963,5.857748179317205e-05,0.00032564109444582534,3.4119677861323026,0.01739885087174794,0.034857251427485726,*
inferiortemporal,rh,None,conscious,2.5199748002519977e-05,1.0998071687177145e-05,1.0490265410194042e-05,4.259217356894514,0.02146262091372272,0.002419175808241918,**
inferiortemporal,rh,PCA,conscious,7.259927400725993e-05,2.2388165966652337e-05,4.770805070208138e-05,3.9058775099386627,0.019634669133986985,0.006969530304696953,**
inferiortemporal,rh,RandomForest,conscious,0.6385034149658503,0.0015930490273818171,0.6379192573237643,-0.35292709074202094,-0.001912742198848288,1.0,n.s.
lateraloccipital,lh,Mutual,conscious,9.999900000999992e-06,1.6940658945086007e-21,1.1662626550481308e-30,11.5448236070634,0.05503579767473246,0.0009599904000959993,***
lateraloccipital,lh,None,conscious,9.999900000999992e-06,1.6940658945086007e-21,4.1080132792690116e-52,15.362834639446207,0.06950353856485017,0.0009599904000959993,***
lateraloccipital,lh,PCA,conscious,9.999900000999992e-06,1.6940658945086007e-21,2.1775180228422488e-51,15.248041244126554,0.06901586848049107,0.0009599904000959993,***
lateraloccipital,lh,RandomForest,conscious,9.999900000999992e-06,1.6940658945086007e-21,9.232816938157087e-16,7.982897339616816,0.03955437249966816,0.0009599904000959993,***
lateraloccipital,rh,Mutual,conscious,9.999900000999992e-06,1.6940658945086007e-21,0.0,41.32184713571063,0.19290063699358534,0.0009599904000959993,***
lateraloccipital,rh,None,conscious,9.999900000999992e-06,1.6940658945086007e-21,2.1101702813407996e-223,34.00000197532365,0.1662665937190962,0.0009599904000959993,***
lateraloccipital,rh,PCA,conscious,9.999900000999992e-06,1.6940658945086007e-21,4.708598600175133e-219,33.62050676458656,0.1653521037871241,0.0009599904000959993,***
lateraloccipital,rh,RandomForest,conscious,9.999900000999992e-06,1.6940658945086007e-21,1.2072086791625518e-225,34.194788793154686,0.16664736204189576,0.0009599904000959993,***
