InceptionV3, leave 2 objects out cross validation (folds = 2304),
scores = 0.9845 +/- 0.0759
pairs of living-nonliving objects incorrectly decoded:
Chest-of-drawers         ,armadillo                 ROC_AUC = 0.9835
armadillo                ,coking-pot                ROC_AUC = 0.9808
armadillo                ,plane                     ROC_AUC = 0.7778
Chest-of-drawers         ,barn-owl                  ROC_AUC = 0.9410
barn-owl                 ,coking-pot                ROC_AUC = 0.9890
barn-owl                 ,palace                    ROC_AUC = 0.9959
barn-owl                 ,plane                     ROC_AUC = 0.9424
Chest-of-drawers         ,butterfly                 ROC_AUC = 0.9438
butterfly                ,coking-pot                ROC_AUC = 0.9849
butterfly                ,plane                     ROC_AUC = 0.7215
cat                      ,plane                     ROC_AUC = 0.9863
Chest-of-drawers         ,cheetah                   ROC_AUC = 0.4376
bed                      ,cheetah                   ROC_AUC = 0.9904
car                      ,cheetah                   ROC_AUC = 0.9835
cathedral                ,cheetah                   ROC_AUC = 0.9959
cheetah                  ,coking-pot                ROC_AUC = 0.7970
cheetah                  ,couch                     ROC_AUC = 0.9973
cheetah                  ,fondue                    ROC_AUC = 0.9959
cheetah                  ,frying-pan                ROC_AUC = 0.9863
cheetah                  ,lamp                      ROC_AUC = 0.9973
cheetah                  ,mill                      ROC_AUC = 0.9986
cheetah                  ,motorbike                 ROC_AUC = 0.9959
cheetah                  ,palace                    ROC_AUC = 0.9300
cheetah                  ,piano                     ROC_AUC = 0.9931
cheetah                  ,plane                     ROC_AUC = 0.4979
cheetah                  ,saxophone                 ROC_AUC = 0.9986
cheetah                  ,van                       ROC_AUC = 0.9383
cheetah                  ,violin                    ROC_AUC = 0.9959
Chest-of-drawers         ,cow                       ROC_AUC = 0.7682
bed                      ,cow                       ROC_AUC = 0.9986
car                      ,cow                       ROC_AUC = 0.9945
cathedral                ,cow                       ROC_AUC = 0.9986
coking-pot               ,cow                       ROC_AUC = 0.8971
couch                    ,cow                       ROC_AUC = 0.9973
cow                      ,drum                      ROC_AUC = 0.9698
cow                      ,fondue                    ROC_AUC = 0.9877
cow                      ,frying-pan                ROC_AUC = 0.9931
cow                      ,lamp                      ROC_AUC = 0.9973
cow                      ,mill                      ROC_AUC = 0.9986
cow                      ,motorbike                 ROC_AUC = 0.9973
cow                      ,palace                    ROC_AUC = 0.9657
cow                      ,plane                     ROC_AUC = 0.7174
cow                      ,saxophone                 ROC_AUC = 0.9904
cow                      ,van                       ROC_AUC = 0.9767
cow                      ,violin                    ROC_AUC = 0.9890
Chest-of-drawers         ,crab                      ROC_AUC = 0.7750
bed                      ,crab                      ROC_AUC = 0.9945
coking-pot               ,crab                      ROC_AUC = 0.9451
couch                    ,crab                      ROC_AUC = 0.9986
crab                     ,frying-pan                ROC_AUC = 0.9986
crab                     ,palace                    ROC_AUC = 0.9973
crab                     ,plane                     ROC_AUC = 0.7641
crab                     ,van                       ROC_AUC = 0.9973
Chest-of-drawers         ,dragonfly                 ROC_AUC = 0.0549
bed                      ,dragonfly                 ROC_AUC = 0.9684
bookcase                 ,dragonfly                 ROC_AUC = 0.9986
car                      ,dragonfly                 ROC_AUC = 0.9492
cathedral                ,dragonfly                 ROC_AUC = 0.9904
coking-pot               ,dragonfly                 ROC_AUC = 0.3580
couch                    ,dragonfly                 ROC_AUC = 0.9684
dragonfly                ,drum                      ROC_AUC = 0.8546
dragonfly                ,fondue                    ROC_AUC = 0.9465
dragonfly                ,frying-pan                ROC_AUC = 0.8587
dragonfly                ,granary                   ROC_AUC = 0.9849
dragonfly                ,guitar                    ROC_AUC = 0.9973
dragonfly                ,hammer                    ROC_AUC = 0.9959
dragonfly                ,house                     ROC_AUC = 0.9973
dragonfly                ,lamp                      ROC_AUC = 0.9534
dragonfly                ,motorbike                 ROC_AUC = 0.9643
dragonfly                ,palace                    ROC_AUC = 0.9163
dragonfly                ,piano                     ROC_AUC = 0.9534
dragonfly                ,plane                     ROC_AUC = 0.1139
dragonfly                ,saxophone                 ROC_AUC = 0.9232
dragonfly                ,small-saucepan            ROC_AUC = 0.9918
dragonfly                ,table                     ROC_AUC = 0.9973
dragonfly                ,van                       ROC_AUC = 0.7874
dragonfly                ,violin                    ROC_AUC = 0.9822
Chest-of-drawers         ,elephant                  ROC_AUC = 0.9959
elephant                 ,plane                     ROC_AUC = 0.9808
Chest-of-drawers         ,giraffe                   ROC_AUC = 0.9204
coking-pot               ,giraffe                   ROC_AUC = 0.9918
frying-pan               ,giraffe                   ROC_AUC = 0.9986
giraffe                  ,palace                    ROC_AUC = 0.9945
giraffe                  ,plane                     ROC_AUC = 0.8532
giraffe                  ,van                       ROC_AUC = 0.9890
goldfinch                ,plane                     ROC_AUC = 0.9547
Chest-of-drawers         ,hen                       ROC_AUC = 0.9835
coking-pot               ,hen                       ROC_AUC = 0.9643
hen                      ,palace                    ROC_AUC = 0.9973
hen                      ,plane                     ROC_AUC = 0.9218
Chest-of-drawers         ,hippopotamus              ROC_AUC = 0.9150
coking-pot               ,hippopotamus              ROC_AUC = 0.9424
frying-pan               ,hippopotamus              ROC_AUC = 0.9986
hippopotamus             ,palace                    ROC_AUC = 0.9973
hippopotamus             ,plane                     ROC_AUC = 0.8930
hippopotamus             ,van                       ROC_AUC = 0.9959
Chest-of-drawers         ,horse                     ROC_AUC = 0.9863
coking-pot               ,horse                     ROC_AUC = 0.9931
horse                    ,plane                     ROC_AUC = 0.8971
Chest-of-drawers         ,hummingbird               ROC_AUC = 0.9918
coking-pot               ,hummingbird               ROC_AUC = 0.9986
hummingbird              ,plane                     ROC_AUC = 0.9643
Chest-of-drawers         ,killer-whale              ROC_AUC = 0.9959
killer-whale             ,plane                     ROC_AUC = 0.9931
Chest-of-drawers         ,kiwi                      ROC_AUC = 0.9479
coking-pot               ,kiwi                      ROC_AUC = 0.9794
kiwi                     ,palace                    ROC_AUC = 0.9986
kiwi                     ,plane                     ROC_AUC = 0.9026
Chest-of-drawers         ,ladybird                  ROC_AUC = 0.3416
bed                      ,ladybird                  ROC_AUC = 0.9945
car                      ,ladybird                  ROC_AUC = 0.9918
coking-pot               ,ladybird                  ROC_AUC = 0.8148
couch                    ,ladybird                  ROC_AUC = 0.9986
fondue                   ,ladybird                  ROC_AUC = 0.9986
frying-pan               ,ladybird                  ROC_AUC = 0.9986
ladybird                 ,motorbike                 ROC_AUC = 0.9986
ladybird                 ,palace                    ROC_AUC = 0.9684
ladybird                 ,plane                     ROC_AUC = 0.3347
ladybird                 ,saxophone                 ROC_AUC = 0.9986
ladybird                 ,van                       ROC_AUC = 0.9602
Chest-of-drawers         ,lioness                   ROC_AUC = 0.6900
bed                      ,lioness                   ROC_AUC = 0.9959
car                      ,lioness                   ROC_AUC = 0.9835
cathedral                ,lioness                   ROC_AUC = 0.9973
coking-pot               ,lioness                   ROC_AUC = 0.7942
couch                    ,lioness                   ROC_AUC = 0.9904
drum                     ,lioness                   ROC_AUC = 0.9520
frying-pan               ,lioness                   ROC_AUC = 0.9945
lamp                     ,lioness                   ROC_AUC = 0.9986
lioness                  ,palace                    ROC_AUC = 0.9616
lioness                  ,piano                     ROC_AUC = 0.9973
lioness                  ,plane                     ROC_AUC = 0.6269
lioness                  ,van                       ROC_AUC = 0.9808
Chest-of-drawers         ,lobster                   ROC_AUC = 0.9465
coking-pot               ,lobster                   ROC_AUC = 0.9918
lobster                  ,plane                     ROC_AUC = 0.8683
Chest-of-drawers         ,magpie                    ROC_AUC = 0.6804
bed                      ,magpie                    ROC_AUC = 0.9973
car                      ,magpie                    ROC_AUC = 0.9698
cathedral                ,magpie                    ROC_AUC = 0.9986
coking-pot               ,magpie                    ROC_AUC = 0.7353
couch                    ,magpie                    ROC_AUC = 0.9931
drum                     ,magpie                    ROC_AUC = 0.9931
fondue                   ,magpie                    ROC_AUC = 0.9973
frying-pan               ,magpie                    ROC_AUC = 0.9794
granary                  ,magpie                    ROC_AUC = 0.9986
lamp                     ,magpie                    ROC_AUC = 0.9863
magpie                   ,mill                      ROC_AUC = 0.9973
magpie                   ,motorbike                 ROC_AUC = 0.9973
magpie                   ,palace                    ROC_AUC = 0.9657
magpie                   ,piano                     ROC_AUC = 0.9945
magpie                   ,plane                     ROC_AUC = 0.4856
magpie                   ,saxophone                 ROC_AUC = 0.9945
magpie                   ,van                       ROC_AUC = 0.9534
magpie                   ,violin                    ROC_AUC = 0.9918
Chest-of-drawers         ,manatee                   ROC_AUC = 0.9986
manatee                  ,plane                     ROC_AUC = 0.9849
