conscious_state,score,fold
unconscious,0.5304215144001526,1
unconscious,0.5197934595524957,2
unconscious,0.5249999999999999,3
unconscious,0.49384053066197375,4
unconscious,0.5568421052631579,5
unconscious,0.5233816622421891,6
unconscious,0.46651053864168623,7
unconscious,0.4302261445118588,8
unconscious,0.5779974890144381,9
unconscious,0.5837636259323007,10
unconscious,0.49254658385093164,11
unconscious,0.47327188940092163,12
unconscious,0.5375438596491229,13
unconscious,0.5087991718426501,14
unconscious,0.4796243798724309,15
unconscious,0.5417234590337725,16
unconscious,0.4718085106382979,17
unconscious,0.5947101678808996,18
unconscious,0.5656922043010753,19
unconscious,0.5067049808429119,20
unconscious,0.46398046398046394,21
unconscious,0.5294117647058824,22
unconscious,0.5706018518518517,23
unconscious,0.551595744680851,24
unconscious,0.5358391608391608,25
unconscious,0.48179945054945056,26
unconscious,0.4997835497835498,27
unconscious,0.4937704918032787,28
unconscious,0.4190635451505017,29
unconscious,0.47702479338842974,30
unconscious,0.48863429714493545,31
unconscious,0.5810374782824522,32
unconscious,0.5064299692479731,33
unconscious,0.5914473684210526,34
unconscious,0.5060461192350956,35
unconscious,0.49041608228143996,36
unconscious,0.4378012048192771,37
unconscious,0.4872474747474748,38
unconscious,0.4952175992348159,39
unconscious,0.46810506566604126,40
unconscious,0.4523509277607638,41
unconscious,0.4463667820069205,42
unconscious,0.5241702741702742,43
unconscious,0.5143169398907104,44
unconscious,0.48844043887147337,45
unconscious,0.5481845481845482,46
unconscious,0.48946886446886445,47
unconscious,0.5303977272727273,48
unconscious,0.48016509974776433,49
unconscious,0.46976626016260165,50
glimpse,0.5708245243128964,1
glimpse,0.6293103448275862,2
glimpse,0.638235294117647,3
glimpse,0.5183537263626251,4
glimpse,0.6043290043290043,5
glimpse,0.4821981424148606,6
glimpse,0.5428571428571429,7
glimpse,0.5933333333333334,8
glimpse,0.5650105708245243,9
glimpse,0.523015873015873,10
glimpse,0.49595959595959593,11
glimpse,0.5499999999999999,12
glimpse,0.684084084084084,13
glimpse,0.5667447306791569,14
glimpse,0.5124031007751938,15
glimpse,0.5938833570412518,16
glimpse,0.4408163265306123,17
glimpse,0.5113636363636364,18
glimpse,0.49301242236024845,19
glimpse,0.6262626262626263,20
glimpse,0.45578231292517,21
glimpse,0.6326774001192604,22
glimpse,0.525096525096525,23
glimpse,0.6119733924611974,24
glimpse,0.49035812672176315,25
glimpse,0.604133545310016,26
glimpse,0.48791208791208796,27
glimpse,0.5998452012383901,28
glimpse,0.5233236151603499,29
glimpse,0.6738721804511278,30
glimpse,0.5669250645994831,31
glimpse,0.5376175548589341,32
glimpse,0.5592948717948718,33
glimpse,0.3078817733990148,34
glimpse,0.6058558558558558,35
glimpse,0.5516273849607183,36
glimpse,0.660165041260315,37
glimpse,0.5396518375241779,38
glimpse,0.5578947368421053,39
glimpse,0.4875420875420875,40
glimpse,0.5870370370370371,41
glimpse,0.5097926267281105,42
glimpse,0.4700435729847495,43
glimpse,0.5146520146520146,44
glimpse,0.5277777777777778,45
glimpse,0.411096256684492,46
glimpse,0.5257575757575758,47
glimpse,0.47010869565217395,48
glimpse,0.5902040816326531,49
glimpse,0.5922222222222222,50
conscious,0.48354341736694684,1
conscious,0.648829431438127,2
conscious,0.7216330858960763,3
conscious,0.6762820512820512,4
conscious,0.7451205510907004,5
conscious,0.7551515151515151,6
conscious,0.7494145199063231,7
conscious,0.6326530612244898,8
conscious,0.7409948542024014,9
conscious,0.7219985792090932,10
conscious,0.6094658910629296,11
conscious,0.65234375,12
conscious,0.6889269406392694,13
conscious,0.6514357053682897,14
conscious,0.6527153234175025,15
conscious,0.6143695014662758,16
conscious,0.6959534368070954,17
conscious,0.5593810444874274,18
conscious,0.5829370629370629,19
conscious,0.6725028702640643,20
conscious,0.6198129748684981,21
conscious,0.6687830687830688,22
conscious,0.7146634615384615,23
conscious,0.6304179566563467,24
conscious,0.6753420086753421,25
conscious,0.7139293139293139,26
conscious,0.5673949579831933,27
conscious,0.690379403794038,28
conscious,0.6815476190476191,29
conscious,0.675150992234685,30
conscious,0.669407894736842,31
conscious,0.7051411290322581,32
conscious,0.5101940555146156,33
conscious,0.5706168831168831,34
conscious,0.6511134676564156,35
conscious,0.6427536231884058,36
conscious,0.7467692307692307,37
conscious,0.6724376731301939,38
conscious,0.6693145042659605,39
conscious,0.6776886035313002,40
conscious,0.6115196078431373,41
conscious,0.7267057960381512,42
conscious,0.559475806451613,43
conscious,0.7326336831584208,44
conscious,0.6763362879398335,45
conscious,0.6114130434782609,46
conscious,0.6124144672531769,47
conscious,0.6010810810810812,48
conscious,0.6941649899396379,49
conscious,0.6783746556473829,50
