sub-01_conscious,sub-02_conscious,sub-03_conscious,sub-04_conscious,sub-05_conscious,sub-06_conscious,sub-07_conscious,sub-01_unconscious,sub-02_unconscious,sub-03_unconscious,sub-04_unconscious,sub-05_unconscious,sub-06_unconscious,sub-07_unconscious,labels,subcategory,category
10,10,3,3,8,9,3,6,4,5,7,5,4,4,house,Buildings,Nonliving_Things
8,1,1,3,,6,2,6,10,5,11,16,10,9,mill,Buildings,Nonliving_Things
4,5,1,1,,2,,8,10,8,11,10,10,14,palace,Buildings,Nonliving_Things
11,9,3,7,4,10,5,2,3,2,5,3,4,4,Chest-of-drawers,Furniture,Nonliving_Things
4,4,,4,5,4,1,8,8,7,8,6,10,9,armchair,Furniture,Nonliving_Things
7,4,2,4,10,10,2,9,7,8,5,4,7,7,bed,Furniture,Nonliving_Things
9,11,2,3,6,9,4,2,2,6,12,3,4,5,bedside-table,Furniture,Nonliving_Things
5,6,4,9,8,5,3,8,3,5,7,3,7,6,bookcase,Furniture,Nonliving_Things
6,4,2,,6,4,1,6,7,6,15,1,7,12,chair,Furniture,Nonliving_Things
2,5,2,4,2,3,,9,7,5,5,7,10,6,couch,Furniture,Nonliving_Things
5,,2,3,2,2,1,10,10,5,11,6,11,11,filling-cabinet,Furniture,Nonliving_Things
7,2,3,4,10,7,4,10,11,5,10,6,9,8,lamp,Furniture,Nonliving_Things
4,5,1,6,1,4,2,8,9,4,6,6,9,6,lectern,Furniture,Nonliving_Things
7,5,1,9,3,12,5,5,8,10,5,3,5,7,rocking-chair,Furniture,Nonliving_Things
6,7,4,10,4,7,10,4,4,7,3,6,2,4,sofa,Furniture,Nonliving_Things
3,10,7,5,12,3,5,9,3,8,10,6,10,5,table,Furniture,Nonliving_Things
10,9,7,10,7,7,5,5,7,3,2,4,7,4,wardrobe,Furniture,Nonliving_Things
12,10,6,11,9,7,4,5,5,1,4,4,7,4,coking-pot,Kitchen_Uten,Nonliving_Things
8,7,3,2,6,12,8,6,8,5,11,4,3,5,cup,Kitchen_Uten,Nonliving_Things
12,9,2,8,8,13,3,4,9,3,6,5,3,4,fondue,Kitchen_Uten,Nonliving_Things
12,9,5,12,10,12,10,5,4,4,2,,5,2,frying-pan,Kitchen_Uten,Nonliving_Things
3,3,3,4,2,4,4,8,12,6,9,7,11,8,pot,Kitchen_Uten,Nonliving_Things
12,10,5,9,15,8,9,5,4,10,7,3,7,2,saucepan,Kitchen_Uten,Nonliving_Things
4,7,3,1,3,7,7,8,7,7,5,5,7,5,small-saucepan,Kitchen_Uten,Nonliving_Things
8,6,1,5,6,4,,8,10,10,6,7,9,8,teapot,Kitchen_Uten,Nonliving_Things
6,5,6,9,8,10,11,6,8,2,5,5,4,1,drum,Musical_Inst,Nonliving_Things
6,8,5,8,13,12,6,8,5,6,4,3,5,4,guitar,Musical_Inst,Nonliving_Things
9,9,6,5,8,6,3,5,2,2,8,3,9,4,piano,Musical_Inst,Nonliving_Things
,,1,,,1,1,10,15,8,13,10,13,11,saxophone,Musical_Inst,Nonliving_Things
1,5,2,3,1,6,,7,7,9,9,7,11,12,trumpet,Musical_Inst,Nonliving_Things
10,8,11,10,7,11,12,7,1,4,6,1,3,2,tuba,Musical_Inst,Nonliving_Things
7,10,3,2,9,9,9,6,6,4,7,4,5,4,violin,Musical_Inst,Nonliving_Things
1,2,2,1,,5,1,13,9,6,12,11,8,6,axe,Tools,Nonliving_Things
,1,1,,,1,,15,9,7,13,13,11,10,hammer,Tools,Nonliving_Things
10,7,6,9,3,6,4,5,3,3,5,5,8,4,boat,Vehicles,Nonliving_Things
10,10,2,7,8,11,7,5,5,8,3,4,3,7,bus,Vehicles,Nonliving_Things
7,7,8,8,11,7,10,8,5,3,7,5,5,4,car,Vehicles,Nonliving_Things
16,10,6,13,10,14,13,2,3,6,4,2,3,1,motorbike,Vehicles,Nonliving_Things
2,1,2,4,,2,1,11,8,6,6,14,9,9,plane,Vehicles,Nonliving_Things
5,6,1,7,2,8,6,6,7,10,5,5,8,4,ship,Vehicles,Nonliving_Things
7,11,9,8,10,11,10,4,3,7,6,6,5,4,tractor,Vehicles,Nonliving_Things
7,5,1,5,1,5,2,5,4,6,8,5,10,5,train,Vehicles,Nonliving_Things
4,3,3,5,4,8,5,11,10,6,8,7,8,5,van,Vehicles,Nonliving_Things
