session 1, vis = '1', n_trials = 14
session 1, vis = '2', n_trials = 14
session 1, vis = '3', n_trials = 3
session 2, vis = '1', n_trials = 13
session 2, vis = '2', n_trials = 11
session 2, vis = '3', n_trials = 7
session 3, vis = '1', n_trials = 11
session 3, vis = '2', n_trials = 12
session 3, vis = '3', n_trials = 9
session 4, vis = '1', n_trials = 12
session 4, vis = '2', n_trials = 9
session 4, vis = '3', n_trials = 9
session 5, vis = '1', n_trials = 16
session 5, vis = '2', n_trials = 10
session 5, vis = '3', n_trials = 6
session 6, vis = '1', n_trials = 13
session 6, vis = '2', n_trials = 10
session 6, vis = '3', n_trials = 7
session 7, vis = '1', n_trials = 12
session 7, vis = '2', n_trials = 9
session 7, vis = '3', n_trials = 10
session 8, vis = '1', n_trials = 14
session 8, vis = '2', n_trials = 12
session 8, vis = '3', n_trials = 5
session 9, vis = '1', n_trials = 16
session 9, vis = '2', n_trials = 7
session 9, vis = '3', n_trials = 9
session 10, vis = '1', n_trials = 12
session 10, vis = '2', n_trials = 13
session 10, vis = '3', n_trials = 7
session 11, vis = '1', n_trials = 13
session 11, vis = '2', n_trials = 10
session 11, vis = '3', n_trials = 8
session 12, vis = '1', n_trials = 15
session 12, vis = '2', n_trials = 3
session 12, vis = '3', n_trials = 11
session 13, vis = '1', n_trials = 13
session 13, vis = '2', n_trials = 6
session 13, vis = '3', n_trials = 9
session 14, vis = '1', n_trials = 9
session 14, vis = '2', n_trials = 6
session 14, vis = '3', n_trials = 15
session 15, vis = '1', n_trials = 12
session 15, vis = '2', n_trials = 7
session 15, vis = '3', n_trials = 10
session 16, vis = '1', n_trials = 14
session 16, vis = '2', n_trials = 4
session 16, vis = '3', n_trials = 12
session 17, vis = '1', n_trials = 13
session 17, vis = '2', n_trials = 3
session 17, vis = '3', n_trials = 10
session 18, vis = '1', n_trials = 13
session 18, vis = '2', n_trials = 3
session 18, vis = '3', n_trials = 13
session 19, vis = '1', n_trials = 10
session 19, vis = '2', n_trials = 5
session 19, vis = '3', n_trials = 7
session 20, vis = '1', n_trials = 11
session 20, vis = '2', n_trials = 6
session 20, vis = '3', n_trials = 10
session 21, vis = '1', n_trials = 11
session 21, vis = '2', n_trials = 8
