category,probe_path,subcategory,fixation_duration,label,n,correctAns_mean,correctAns_raw,discrim_resptime_mean,discrim_resptime_raw,discrim_resptime_std,image_onset_time_mean,image_onset_time_raw,image_onset_time_std,jitter2_mean,jitter2_raw,probeFrames_raw,probe_onset_mean,probe_onset_raw,probe_onset_std,response.corr_mean,response.corr_raw,response.corr_std,response.keys_raw,response.rt_mean,response.rt_raw,response.rt_std,response_window_raw,visible.corr_mean,visible.corr_raw,visible.corr_std,visible.keys_raw,visible.rt_mean,visible.rt_raw,visible.rt_std,visible_resptime_mean,visible_resptime_raw,visible_resptime_std,order
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/teapot_16.jpg,Kitchen_Uten,0,teapot,1.0,2.0,2,384.925384521,384.9253845214844,0.0,383.652740479,383.6527404785156,0.0,6.0,6.0,5,383.657501221,383.6575012207031,0.0,1.0,1.0,0.0,'2',5.32180118561,5.32180118560791,0.0,'V_nV',0.0,0.0,0.0,'3',0.661501348019,0.6615013480186462,0.0,390.26776123,390.26776123046875,0.0,82.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/tiger_24.jpg,Animals,0,tiger,1.0,1.0,1,277.24130249,277.2413024902344,0.0,275.958587646,275.9585876464844,0.0,7.0,7.0,5,275.964660645,275.96466064453125,0.0,1.0,1.0,0.0,'1',1.35316550732,1.3531655073165894,0.0,'V_nV',1.0,1.0,0.0,'1',0.190627649426,0.19062764942646027,0.0,278.615020752,278.6150207519531,0.0,58.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/toucan_24.jpg,Birds,0,toucan,1.0,2.0,2,209.914916992,209.9149169921875,0.0,208.642272949,208.64227294921875,0.0,6.5,6.5,5,208.647216797,208.647216796875,0.0,0.0,0.0,0.0,'1',6.06342077255,6.06342077255249,0.0,'nV_V',0.0,0.0,0.0,'2',0.852076351643,0.8520763516426086,0.0,215.998901367,215.9989013671875,0.0,43.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/tractor_24.jpg,Vehicles,0,tractor,1.0,1.0,1,81.3654632568,81.36546325683594,0.0,80.1028137207,80.10281372070312,0.0,7.0,7.0,4,80.1091003418,80.10910034179688,0.0,1.0,1.0,0.0,'1',3.29738640785,3.297386407852173,0.0,'nV_V',0.0,0.0,0.0,'2',0.14054569602,0.14054569602012634,0.0,84.6833953857,84.68339538574219,0.0,17.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/train_16.jpg,Vehicles,0,train,1.0,1.0,1,167.923629761,167.9236297607422,0.0,166.650970459,166.65097045898438,0.0,6.0,6.0,5,166.655914307,166.65591430664062,0.0,1.0,1.0,0.0,'1',0.83203959465,0.8320395946502686,0.0,'nV_V',0.0,0.0,0.0,'2',0.431154936552,0.43115493655204773,0.0,168.7762146,168.77621459960938,0.0,35.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Musical_Inst/trumpet_20.jpg,Musical_Inst,0,trumpet,1.0,2.0,2,304.25,304.25,0.0,302.957305908,302.9573059082031,0.0,6.0,6.0,7,302.962219238,302.96221923828125,0.0,1.0,1.0,0.0,'2',0.882143557072,0.8821435570716858,0.0,'V_nV',0.0,0.0,0.0,'3',0.411116600037,0.4111166000366211,0.0,305.152709961,305.1527099609375,0.0,63.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Musical_Inst/tuba_14.jpg,Musical_Inst,0,tuba,1.0,2.0,2,14.2896652222,14.289665222167969,0.0,13.0470533371,13.047053337097168,0.0,6.5,6.5,2,13.052028656,13.05202865600586,0.0,1.0,1.0,0.0,'2',0.611551225185,0.6115512251853943,0.0,'V_nV',0.0,0.0,0.0,'3',0.371044307947,0.3710443079471588,0.0,14.9217472076,14.921747207641602,0.0,2.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/turtle_23.jpg,Animals,0,turtle,1.0,2.0,2,136.054351807,136.05435180664062,0.0,134.821777344,134.82177734375,0.0,6.0,6.0,1,134.82749939,134.82749938964844,0.0,0.0,0.0,0.0,'1',0.952291429043,0.9522914290428162,0.0,'nV_V',1.0,1.0,0.0,'1',0.290868848562,0.2908688485622406,0.0,137.027191162,137.02719116210938,0.0,28.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/van_8.jpg,Vehicles,0,van,1.0,2.0,2,253.259155273,253.2591552734375,0.0,252.006530762,252.00653076171875,0.0,6.0,6.0,3,252.012557983,252.01255798339844,0.0,1.0,1.0,0.0,'2',0.952298521996,0.9522985219955444,0.0,'V_nV',0.0,0.0,0.0,'3',0.461218357086,0.46121835708618164,0.0,254.231994629,254.23199462890625,0.0,52.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Musical_Inst/violin_6.jpg,Musical_Inst,0,violin,1.0,1.0,1,52.2521705627,52.25217056274414,0.0,50.9795074463,50.97950744628906,0.0,6.0,6.0,5,50.9843902588,50.98439025878906,0.0,1.0,1.0,0.0,'1',3.28736877441,3.2873687744140625,0.0,'nV_V',0.0,0.0,0.0,'3',0.471245348454,0.47124534845352173,0.0,55.5601043701,55.56010437011719,0.0,11.0
