conscious_state,diff,feature_selector,p,ps_mean,ps_std,roi_name,side,t,ps_corrected
conscious,0.3340464426877471,None,0.0,9.999000099989996e-05,5.421010862427522e-20,fusiform,lh,166.561414204791,0.0
conscious,0.07446805006587615,None,5.978878672990686e-82,9.999000099989996e-05,5.421010862427522e-20,fusiform,rh,22.49259865964027,1.4349308815177647e-80
conscious,0.1861528326745718,None,3.426952843461172e-292,9.999000099989996e-05,5.421010862427522e-20,inferiorparietal,lh,70.48960423680515,8.224686824306813e-291
conscious,0.06592226613965745,None,1.0593246630127414e-68,9.999000099989996e-05,5.421010862427522e-20,inferiorparietal,rh,19.976696978766338,2.5423791912305792e-67
conscious,0.088417325428195,None,3.1226348782996035e-112,9.999000099989996e-05,5.421010862427522e-20,inferiortemporal,lh,28.20170571864716,7.494323707919048e-111
conscious,-0.0036907114624505897,None,0.869027461647756,0.8675942405759425,0.0035454512871187383,inferiortemporal,rh,-1.1228658532235714,1.0
conscious,0.05229907773386035,None,3.353551599273176e-50,9.999000099989996e-05,5.421010862427522e-20,lateraloccipital,lh,16.34142557760928,8.048523838255621e-49
conscious,0.1669268774703557,None,2.6022626373873084e-270,9.999000099989996e-05,5.421010862427522e-20,lateraloccipital,rh,64.0759220428583,6.24543032972954e-269
conscious,0.1767588932806324,None,2.8463204112421396e-267,9.999000099989996e-05,5.421010862427522e-20,lingual,lh,63.22142497613468,6.831168986981134e-266
conscious,0.048297101449275355,None,4.5522184885909115e-38,9.999000099989996e-05,5.421010862427522e-20,lingual,rh,13.791297725040367,1.0925324372618187e-36
conscious,0.056403162055335965,None,1.9196095629201313e-48,9.999000099989996e-05,5.421010862427522e-20,parahippocampal,lh,15.982973270531915,4.607062951008315e-47
conscious,0.12649538866930168,None,2.7094452107427344e-197,9.999000099989996e-05,5.421010862427522e-20,parahippocampal,rh,45.64147748145845,6.502668505782563e-196
conscious,0.02318181818181818,None,3.3554741059920326e-10,9.999000099989996e-05,5.421010862427522e-20,pericalcarine,lh,6.275095094397578,8.053137854380879e-09
conscious,-0.012616930171277994,None,0.9999394158272135,0.9999260073992599,7.951562984531285e-05,pericalcarine,rh,-3.869248068606957,1.0
conscious,0.019081027667984186,None,2.2689260462193702e-07,0.00010198980101989797,1.3998600139986001e-05,precuneus,lh,5.101215594050359,5.445422510926488e-06
conscious,0.13423583662714098,None,1.6040132601007478e-212,9.999000099989996e-05,5.421010862427522e-20,precuneus,rh,49.15868490230533,3.849631824241795e-211
conscious,0.01574769433465086,None,0.0001621471221948895,0.00037496250374962503,0.00015320021443900172,rostralmiddlefrontal,lh,3.616116078315079,0.0038915309326773484
conscious,0.3300428194993412,None,0.0,9.999000099989996e-05,5.421010862427522e-20,rostralmiddlefrontal,rh,166.12336869579693,0.0
conscious,0.0005319499341238536,None,0.43339247056051866,0.4326357364263575,0.005176803924453059,superiorfrontal,lh,0.1678157846196665,1.0
conscious,0.1518445322793149,None,5.215415566636078e-230,9.999000099989996e-05,5.421010862427522e-20,superiorfrontal,rh,53.39467528955317,1.2516997359926587e-228
conscious,0.2864393939393939,None,0.0,9.999000099989996e-05,5.421010862427522e-20,superiorparietal,lh,144.45162168617483,0.0
conscious,0.2353425559947299,None,0.0,9.999000099989996e-05,5.421010862427522e-20,superiorparietal,rh,94.83454870789095,0.0
conscious,0.17098155467720685,None,5.255970568940612e-275,9.999000099989996e-05,5.421010862427522e-20,ventrolateralPFC,lh,65.41292038357719,1.2614329365457468e-273
conscious,0.20311429512516468,None,4.257673495250407e-301,9.999000099989996e-05,5.421010862427522e-20,ventrolateralPFC,rh,73.23855993736566,1.0218416388600978e-299
glimpse,0.26162234042553195,None,0.0,9.999000099989996e-05,5.421010862427522e-20,fusiform,lh,114.17021058235544,0.0
glimpse,0.04595596926713949,None,1.5554549410138731e-44,9.999000099989996e-05,5.421010862427522e-20,fusiform,rh,15.17399580621563,3.733091858433296e-43
glimpse,0.19166962174940902,None,3.693756941781565e-307,9.999000099989996e-05,5.421010862427522e-20,inferiorparietal,lh,75.15808796517767,8.865016660275755e-306
glimpse,0.004259751773049651,None,0.13120006540932508,0.1344995500449955,0.003917507048396535,inferiorparietal,rh,1.121794339235196,1.0
glimpse,0.023014184397163122,None,7.723944813046373e-16,9.999000099989996e-05,5.421010862427522e-20,inferiortemporal,lh,8.193569718460784,1.8537467551311294e-14
