conscious_state,diff,feature_selector,p,ps_mean,ps_std,roi_name,side,t,ps_corrected
conscious,0.2812352544657904,None,0.0,9.999000099989996e-05,5.421010862427522e-20,fusiform,lh,121.8269188678962,0.0
conscious,-0.007613751263902924,None,0.9841029454828227,0.9840635936406359,0.0011470365505394378,fusiform,rh,-2.152036052979507,1.0
conscious,0.23809234917425007,None,0.0,9.999000099989996e-05,5.421010862427522e-20,inferiorparietal,lh,84.79229173776334,0.0
conscious,0.04479271991911021,None,6.596771416395154e-38,9.999000099989996e-05,5.421010862427522e-20,inferiorparietal,rh,13.756003849092954,1.583225139934837e-36
conscious,0.09176440849342771,None,5.061685243581302e-125,9.999000099989996e-05,5.421010862427522e-20,inferiortemporal,lh,30.649434080067326,1.2148044584595125e-123
conscious,0.08408830468486687,None,6.857594717013047e-116,9.999000099989996e-05,5.421010862427522e-20,inferiortemporal,rh,28.89808538462055,1.6458227320831315e-114
conscious,0.07329120323559152,None,2.5826438557325414e-75,9.999000099989996e-05,5.421010862427522e-20,lateraloccipital,lh,21.23760345867384,6.198345253758099e-74
conscious,0.09056285810583081,None,2.0465272740336258e-127,9.999000099989996e-05,5.421010862427522e-20,lateraloccipital,rh,31.111980286135417,4.911665457680702e-126
conscious,0.1659571958206943,None,2.047173164654819e-243,9.999000099989996e-05,5.421010862427522e-20,lingual,lh,56.79758221281014,4.913215595171566e-242
conscious,0.12299797775530841,None,4.2312134131391556e-153,9.999000099989996e-05,5.421010862427522e-20,lingual,rh,36.19553625824152,1.0154912191533973e-151
conscious,0.17032018874283789,None,3.781683445271636e-264,9.999000099989996e-05,5.421010862427522e-20,parahippocampal,lh,62.35199582913801,9.076040268651926e-263
conscious,0.1904061341422312,None,0.0,9.999000099989996e-05,5.421010862427522e-20,parahippocampal,rh,80.85431279116858,0.0
conscious,-0.016297607010448262,None,0.9999999775541164,1.0,0.0,pericalcarine,lh,-5.541963959438105,1.0
conscious,0.07535894843276038,None,1.6249955907042726e-73,9.999000099989996e-05,5.421010862427522e-20,pericalcarine,rh,20.895844502130707,3.8999894176902543e-72
conscious,0.0007954162453656943,None,0.4179587869087477,0.4173352664733526,0.004730232103935032,precuneus,lh,0.20720849243406375,1.0
conscious,0.17452308729356253,None,6.410670607916335e-250,9.999000099989996e-05,5.421010862427522e-20,precuneus,rh,58.50061045060257,1.5385609458999204e-248
conscious,-0.007494101786316131,None,0.9773101811791414,0.9767053294670531,0.0014114859268064865,rostralmiddlefrontal,lh,-2.0053136265265445,1.0
conscious,0.23858274351196496,None,0.0,9.999000099989996e-05,5.421010862427522e-20,rostralmiddlefrontal,rh,94.35558999613082,0.0
conscious,-0.00942197505898213,None,0.9976380584236103,0.9973552644735526,0.000540015438435872,superiorfrontal,lh,-2.835929609440751,1.0
conscious,0.10894169194472532,None,2.291313099982314e-152,9.999000099989996e-05,5.421010862427522e-20,superiorfrontal,rh,36.04684964923655,5.499151439957553e-151
conscious,0.2950893158072127,None,0.0,9.999000099989996e-05,5.421010862427522e-20,superiorparietal,lh,144.70385866857427,0.0
conscious,0.2675530839231547,None,0.0,9.999000099989996e-05,5.421010862427522e-20,superiorparietal,rh,109.97066491200385,0.0
conscious,0.142185709470846,None,2.605838731604062e-221,9.999000099989996e-05,5.421010862427522e-20,ventrolateralPFC,lh,51.26009741571738,6.254012955849749e-220
conscious,0.19525446579036065,None,0.0,9.999000099989996e-05,5.421010862427522e-20,ventrolateralPFC,rh,82.61174483341125,0.0
