session 1, vis = '1', n_trials = 10
session 1, vis = '2', n_trials = 15
session 1, vis = '3', n_trials = 6
session 2, vis = '1', n_trials = 11
session 2, vis = '2', n_trials = 16
session 2, vis = '3', n_trials = 4
session 3, vis = '1', n_trials = 9
session 3, vis = '2', n_trials = 19
session 3, vis = '3', n_trials = 3
session 4, vis = '1', n_trials = 13
session 4, vis = '2', n_trials = 12
session 4, vis = '3', n_trials = 7
session 5, vis = '1', n_trials = 8
session 5, vis = '2', n_trials = 18
session 5, vis = '3', n_trials = 3
session 6, vis = '1', n_trials = 11
session 6, vis = '2', n_trials = 17
session 6, vis = '3', n_trials = 3
session 7, vis = '1', n_trials = 12
session 7, vis = '2', n_trials = 14
session 7, vis = '3', n_trials = 3
session 8, vis = '1', n_trials = 8
session 8, vis = '2', n_trials = 15
session 8, vis = '3', n_trials = 4
session 9, vis = '1', n_trials = 8
session 9, vis = '2', n_trials = 18
session 9, vis = '3', n_trials = 4
session 10, vis = '1', n_trials = 10
session 10, vis = '2', n_trials = 15
session 10, vis = '3', n_trials = 7
session 11, vis = '1', n_trials = 9
session 11, vis = '2', n_trials = 15
session 11, vis = '3', n_trials = 6
session 12, vis = '1', n_trials = 10
session 12, vis = '2', n_trials = 16
session 12, vis = '3', n_trials = 5
session 13, vis = '1', n_trials = 9
session 13, vis = '2', n_trials = 14
session 13, vis = '3', n_trials = 7
session 14, vis = '1', n_trials = 9
session 14, vis = '2', n_trials = 18
session 14, vis = '3', n_trials = 3
session 15, vis = '1', n_trials = 9
session 15, vis = '2', n_trials = 16
session 15, vis = '3', n_trials = 6
session 16, vis = '1', n_trials = 11
session 16, vis = '2', n_trials = 12
session 16, vis = '3', n_trials = 8
session 17, vis = '1', n_trials = 6
session 17, vis = '2', n_trials = 24
session 17, vis = '3', n_trials = 2
session 18, vis = '1', n_trials = 10
session 18, vis = '2', n_trials = 20
session 18, vis = '3', n_trials = 2
session 19, vis = '1', n_trials = 12
session 19, vis = '2', n_trials = 12
session 19, vis = '3', n_trials = 8
session 20, vis = '1', n_trials = 13
session 20, vis = '2', n_trials = 11
session 20, vis = '3', n_trials = 8
session 21, vis = '1', n_trials = 10
session 21, vis = '2', n_trials = 17
session 21, vis = '3', n_trials = 3
session 22, vis = '1', n_trials = 11
session 22, vis = '2', n_trials = 9
session 22, vis = '3', n_trials = 9
session 23, vis = '1', n_trials = 9
session 23, vis = '2', n_trials = 16
session 23, vis = '3', n_trials = 6
session 24, vis = '1', n_trials = 9
session 24, vis = '2', n_trials = 16
session 24, vis = '3', n_trials = 3
session 25, vis = '1', n_trials = 15
session 25, vis = '2', n_trials = 7
session 25, vis = '3', n_trials = 7
session 26, vis = '1', n_trials = 8
session 26, vis = '2', n_trials = 13
session 26, vis = '3', n_trials = 8
session 27, vis = '1', n_trials = 9
session 27, vis = '2', n_trials = 16
session 27, vis = '3', n_trials = 6
session 28, vis = '1', n_trials = 12
session 28, vis = '2', n_trials = 15
session 28, vis = '3', n_trials = 5
session 29, vis = '1', n_trials = 12
session 29, vis = '2', n_trials = 12
session 29, vis = '3', n_trials = 5
session 30, vis = '1', n_trials = 11
session 30, vis = '2', n_trials = 11
session 30, vis = '3', n_trials = 8
session 31, vis = '1', n_trials = 8
session 31, vis = '2', n_trials = 9
session 31, vis = '3', n_trials = 11
session 32, vis = '1', n_trials = 10
session 32, vis = '2', n_trials = 10
session 32, vis = '3', n_trials = 9
session 33, vis = '1', n_trials = 12
session 33, vis = '2', n_trials = 12
session 33, vis = '3', n_trials = 6
session 34, vis = '1', n_trials = 7
session 34, vis = '2', n_trials = 17
session 34, vis = '3', n_trials = 7
session 35, vis = '1', n_trials = 15
session 35, vis = '2', n_trials = 9
session 35, vis = '3', n_trials = 8
session 36, vis = '1', n_trials = 11
session 36, vis = '2', n_trials = 15
session 36, vis = '3', n_trials = 6
session 37, vis = '1', n_trials = 13
session 37, vis = '2', n_trials = 10
session 37, vis = '3', n_trials = 8
session 38, vis = '1', n_trials = 10
session 38, vis = '2', n_trials = 13
session 38, vis = '3', n_trials = 7
session 39, vis = '1', n_trials = 12
session 39, vis = '2', n_trials = 5
session 39, vis = '3', n_trials = 9
session 40, vis = '1', n_trials = 12
session 40, vis = '2', n_trials = 12
session 40, vis = '3', n_trials = 5
session 41, vis = '1', n_trials = 8
session 41, vis = '2', n_trials = 14
session 41, vis = '3', n_trials = 6
session 42, vis = '1', n_trials = 12
session 42, vis = '2', n_trials = 7
session 42, vis = '3', n_trials = 7
session 43, vis = '1', n_trials = 9
session 43, vis = '2', n_trials = 14
session 43, vis = '3', n_trials = 5
session 44, vis = '1', n_trials = 10
session 44, vis = '2', n_trials = 16
session 44, vis = '3', n_trials = 3
session 45, vis = '1', n_trials = 11
session 45, vis = '2', n_trials = 15
session 45, vis = '3', n_trials = 4
session 46, vis = '1', n_trials = 8
session 46, vis = '2', n_trials = 17
session 46, vis = '3', n_trials = 7
session 47, vis = '1', n_trials = 12
session 47, vis = '2', n_trials = 14
session 47, vis = '3', n_trials = 5
session 48, vis = '1', n_trials = 11
session 48, vis = '2', n_trials = 9
session 48, vis = '3', n_trials = 8
session 49, vis = '1', n_trials = 13
session 49, vis = '2', n_trials = 8
session 49, vis = '3', n_trials = 8
session 50, vis = '1', n_trials = 15
session 50, vis = '2', n_trials = 13
session 50, vis = '3', n_trials = 4
session 51, vis = '1', n_trials = 11
session 51, vis = '2', n_trials = 15
session 51, vis = '3', n_trials = 6
session 52, vis = '1', n_trials = 11
session 52, vis = '2', n_trials = 9
session 52, vis = '3', n_trials = 8
session 53, vis = '1', n_trials = 11
session 53, vis = '2', n_trials = 15
session 53, vis = '3', n_trials = 5
session 54, vis = '1', n_trials = 12
session 54, vis = '2', n_trials = 8
session 54, vis = '3', n_trials = 8

vis = 1.0,mean frames = 1.00000
vis = 1.0,prob(press 1) = 0.5405, p(press 2) = 0.4595

vis = 2.0,mean frames = 2.00000
vis = 2.0,prob(press 1) = 0.5116, p(press 2) = 0.4884

vis = 3.0,mean frames = 4.00000
vis = 3.0,prob(press 1) = 0.5204, p(press 2) = 0.4796
vis = '1',N = 568,mean frames = 1.65 +/- 0.91
p(correct) = 0.5211
RT = 0.409 +/- 0.260
vis = '2',N = 735,mean frames = 2.42 +/- 1.34
p(correct) = 0.7116
RT = 0.403 +/- 0.250
vis = '3',N = 319,mean frames = 3.67 +/- 1.36
p(correct) = 0.9687
RT = 0.356 +/- 0.199
