conscious_state,diff,feature_selector,ps_mean,ps_std,roi_name,side,ps_corrected
conscious,0.09940052700922275,Mutual,9.999000099989996e-05,5.421010862427522e-20,fusiform,lh,0.009599040095990396
conscious,0.11733695652173914,None,9.999000099989996e-05,5.421010862427522e-20,fusiform,lh,0.009599040095990396
conscious,0.11612483530961792,PCA,9.999000099989996e-05,5.421010862427522e-20,fusiform,lh,0.009599040095990396
conscious,0.11733695652173914,RandomForest,9.999000099989996e-05,5.421010862427522e-20,fusiform,lh,0.009599040095990396
conscious,0.17019927536231882,Mutual,9.999000099989996e-05,5.421010862427522e-20,fusiform,rh,0.009599040095990396
conscious,0.16808135704874838,None,9.999000099989996e-05,5.421010862427522e-20,fusiform,rh,0.009599040095990396
conscious,0.166439393939394,PCA,9.999000099989996e-05,5.421010862427522e-20,fusiform,rh,0.009599040095990396
conscious,0.16808135704874838,RandomForest,9.999000099989996e-05,5.421010862427522e-20,fusiform,rh,0.009599040095990396
conscious,0.05288372859025037,Mutual,9.999000099989996e-05,5.421010862427522e-20,inferiorparietal,lh,0.009599040095990396
conscious,0.03981884057971019,None,9.999000099989996e-05,5.421010862427522e-20,inferiorparietal,lh,0.009599040095990396
conscious,0.03670454545454549,PCA,9.999000099989996e-05,5.421010862427522e-20,inferiorparietal,lh,0.009599040095990396
conscious,0.03981884057971019,RandomForest,9.999000099989996e-05,5.421010862427522e-20,inferiorparietal,lh,0.009599040095990396
conscious,-0.009645915678524353,Mutual,0.9992190780921908,0.00025519791173501445,inferiorparietal,rh,1.0
conscious,-0.014122200263504692,None,1.0,0.0,inferiorparietal,rh,1.0
conscious,-0.01373847167325426,PCA,0.9999920007999199,2.71266072717784e-05,inferiorparietal,rh,1.0
conscious,-0.014122200263504692,RandomForest,0.99999900009999,9.94887948311954e-06,inferiorparietal,rh,1.0
conscious,0.03524209486166008,Mutual,9.999000099989996e-05,5.421010862427522e-20,inferiortemporal,lh,0.009599040095990396
conscious,0.03353260869565211,None,9.999000099989996e-05,5.421010862427522e-20,inferiortemporal,lh,0.009599040095990396
conscious,0.03190546772068514,PCA,9.999000099989996e-05,5.421010862427522e-20,inferiortemporal,lh,0.009599040095990396
conscious,0.03353260869565211,RandomForest,9.999000099989996e-05,5.421010862427522e-20,inferiortemporal,lh,0.009599040095990396
conscious,0.07380434782608691,Mutual,9.999000099989996e-05,5.421010862427522e-20,inferiortemporal,rh,0.009599040095990396
conscious,0.09415019762845844,None,9.999000099989996e-05,5.421010862427522e-20,inferiortemporal,rh,0.009599040095990396
conscious,0.0902223320158102,PCA,9.999000099989996e-05,5.421010862427522e-20,inferiortemporal,rh,0.009599040095990396
conscious,0.09415019762845844,RandomForest,9.999000099989996e-05,5.421010862427522e-20,inferiortemporal,rh,0.009599040095990396
conscious,0.16920783926218708,Mutual,9.999000099989996e-05,5.421010862427522e-20,lateraloccipital,lh,0.009599040095990396
conscious,0.18118083003952568,None,9.999000099989996e-05,5.421010862427522e-20,lateraloccipital,lh,0.009599040095990396
conscious,0.18096179183135708,PCA,9.999000099989996e-05,5.421010862427522e-20,lateraloccipital,lh,0.009599040095990396
conscious,0.18118083003952568,RandomForest,9.999000099989996e-05,5.421010862427522e-20,lateraloccipital,lh,0.009599040095990396
conscious,0.18529644268774703,Mutual,9.999000099989996e-05,5.421010862427522e-20,lateraloccipital,rh,0.009599040095990396
conscious,0.19954545454545458,None,9.999000099989996e-05,5.421010862427522e-20,lateraloccipital,rh,0.009599040095990396
conscious,0.19939558629776022,PCA,9.999000099989996e-05,5.421010862427522e-20,lateraloccipital,rh,0.009599040095990396
conscious,0.19954545454545458,RandomForest,9.999000099989996e-05,5.421010862427522e-20,lateraloccipital,rh,0.009599040095990396
conscious,0.05251152832674577,Mutual,9.999000099989996e-05,5.421010862427522e-20,lingual,lh,0.009599040095990396
conscious,0.030563241106719374,None,9.999000099989996e-05,5.421010862427522e-20,lingual,lh,0.009599040095990396
conscious,0.028654479578392622,PCA,9.999000099989996e-05,5.421010862427522e-20,lingual,lh,0.009599040095990396
conscious,0.030563241106719374,RandomForest,9.999000099989996e-05,5.421010862427522e-20,lingual,lh,0.009599040095990396
conscious,0.056454216073781205,Mutual,9.999000099989996e-05,5.421010862427522e-20,lingual,rh,0.009599040095990396
conscious,0.034354413702239794,None,9.999000099989996e-05,5.421010862427522e-20,lingual,rh,0.009599040095990396
conscious,0.030100461133069745,PCA,9.999000099989996e-05,5.421010862427522e-20,lingual,rh,0.009599040095990396
conscious,0.034354413702239794,RandomForest,9.999000099989996e-05,5.421010862427522e-20,lingual,rh,0.009599040095990396
conscious,0.013425559947299104,Mutual,0.00011898810118988096,4.4029674745133486e-05,parahippocampal,lh,0.011422857714228572
conscious,-0.007272727272727264,None,0.9901019898010199,0.0009361216408627003,parahippocampal,lh,1.0
conscious,-0.007844202898550645,PCA,0.9940185981401861,0.0007487081418136396,parahippocampal,lh,1.0
conscious,0.005933794466403075,RandomForest,0.03298670132986701,0.0017083665495324254,parahippocampal,lh,1.0
conscious,0.07566699604743088,Mutual,9.999000099989996e-05,5.421010862427522e-20,parahippocampal,rh,0.009599040095990396
conscious,0.0766090250329381,None,9.999000099989996e-05,5.421010862427522e-20,parahippocampal,rh,0.009599040095990396
conscious,0.07975955204216068,PCA,9.999000099989996e-05,5.421010862427522e-20,parahippocampal,rh,0.009599040095990396
conscious,0.06660902503293809,RandomForest,9.999000099989996e-05,5.421010862427522e-20,parahippocampal,rh,0.009599040095990396
conscious,0.004873188405797091,Mutual,0.053248675132486746,0.002291731559491973,pericalcarine,lh,1.0
conscious,-0.0004331357048747986,None,0.5544905509449055,0.005271823716421039,pericalcarine,lh,1.0
conscious,-0.002287549407114564,PCA,0.7626857314268572,0.004144215356864309,pericalcarine,lh,1.0
conscious,0.01802206851119892,RandomForest,9.999000099989996e-05,5.421010862427522e-20,pericalcarine,lh,0.009599040095990396
conscious,0.006449275362318985,Mutual,0.022776722327767226,0.001499136249854155,pericalcarine,rh,1.0
conscious,-0.008282279314887953,None,0.9953724627537245,0.0005902087149907963,pericalcarine,rh,1.0
conscious,-0.010319499341238547,PCA,0.9994190580941907,0.0002369130091066072,pericalcarine,rh,1.0
conscious,0.0073550724637680975,RandomForest,0.010010998900109988,0.0009513542851924614,pericalcarine,rh,0.9610558944105589
conscious,-0.019975296442687696,Mutual,1.0,0.0,precuneus,lh,1.0
conscious,-0.014413702239789272,None,0.99999900009999,9.94887948311954e-06,precuneus,lh,1.0
conscious,-0.01342720685111981,PCA,0.9999980001999799,1.3998600139988324e-05,precuneus,lh,1.0
conscious,-0.014413702239789272,RandomForest,1.0,0.0,precuneus,lh,1.0
conscious,-0.035232213438735116,Mutual,1.0,0.0,precuneus,rh,1.0
conscious,-0.024446640316205526,None,1.0,0.0,precuneus,rh,1.0
conscious,-0.023908102766798334,PCA,1.0,0.0,precuneus,rh,1.0
conscious,-0.024446640316205526,RandomForest,1.0,0.0,precuneus,rh,1.0
conscious,0.04563570487483526,Mutual,9.999000099989996e-05,5.421010862427522e-20,rostralmiddlefrontal,lh,0.009599040095990396
conscious,0.04541501976284579,None,9.999000099989996e-05,5.421010862427522e-20,rostralmiddlefrontal,lh,0.009599040095990396
conscious,0.042264492753623095,PCA,9.999000099989996e-05,5.421010862427522e-20,rostralmiddlefrontal,lh,0.009599040095990396
conscious,0.04541501976284579,RandomForest,9.999000099989996e-05,5.421010862427522e-20,rostralmiddlefrontal,lh,0.009599040095990396
conscious,0.012373188405797042,Mutual,0.00016998300169982996,7.415456941401523e-05,rostralmiddlefrontal,rh,0.016318368163183675
conscious,0.018364624505928906,None,9.999000099989996e-05,5.421010862427522e-20,rostralmiddlefrontal,rh,0.009599040095990396
conscious,0.016992753623188306,PCA,9.999000099989996e-05,5.421010862427522e-20,rostralmiddlefrontal,rh,0.009599040095990396
conscious,0.018364624505928906,RandomForest,9.999000099989996e-05,5.421010862427522e-20,rostralmiddlefrontal,rh,0.009599040095990396
conscious,0.026732542819499328,Mutual,9.999000099989996e-05,5.421010862427522e-20,superiorfrontal,lh,0.009599040095990396
conscious,-0.0023534255599472753,None,0.7574782521747825,0.004595112705548588,superiorfrontal,lh,1.0
conscious,-0.004568511198946024,PCA,0.9136866313368663,0.0026167816917427606,superiorfrontal,lh,1.0
conscious,-0.0023534255599472753,RandomForest,0.7567763223677634,0.00464521045682352,superiorfrontal,lh,1.0
conscious,0.030760869565217286,Mutual,9.999000099989996e-05,5.421010862427522e-20,superiorfrontal,rh,0.009599040095990396
conscious,0.0015217391304347405,None,0.33538346165383465,0.004714484648891692,superiorfrontal,rh,1.0
conscious,-0.0009239130434781639,PCA,0.6035826417358264,0.005096612173700844,superiorfrontal,rh,1.0
conscious,0.0015217391304347405,RandomForest,0.3362933706629338,0.004288949964465609,superiorfrontal,rh,1.0
conscious,0.06541831357048744,Mutual,9.999000099989996e-05,5.421010862427522e-20,superiorparietal,lh,0.009599040095990396
conscious,0.05716238471673252,None,9.999000099989996e-05,5.421010862427522e-20,superiorparietal,lh,0.009599040095990396
conscious,0.0545289855072465,PCA,9.999000099989996e-05,5.421010862427522e-20,superiorparietal,lh,0.009599040095990396
conscious,0.05716238471673252,RandomForest,9.999000099989996e-05,5.421010862427522e-20,superiorparietal,lh,0.009599040095990396
conscious,0.05421772068511199,Mutual,9.999000099989996e-05,5.421010862427522e-20,superiorparietal,rh,0.009599040095990396
conscious,0.060951910408432064,None,9.999000099989996e-05,5.421010862427522e-20,superiorparietal,rh,0.009599040095990396
